City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,Iquique,-20.2208,-70.1431,60.84,63,0,8.1,CL,2021-10-03 15:47:12
120,Virginia Beach,36.8529,-75.978,81.03,66,40,12.66,US,2021-10-03 15:44:01
121,Cape Town,-33.9258,18.4232,61.27,43,20,20.71,ZA,2021-10-03 15:46:21
122,Guisa,20.255,-76.5386,82.71,49,29,4.5,CU,2021-10-03 15:47:13
123,Comodoro Rivadavia,-45.8667,-67.5,57.06,35,40,19.57,AR,2021-10-03 15:47:13
124,Salmo,49.1999,-117.2689,54.07,88,80,3.0,CA,2021-10-03 15:47:14
125,Yellowknife,62.456,-114.3525,47.41,58,40,9.22,CA,2021-10-03 15:47:14
126,Diamantino,-14.4086,-56.4461,99.68,29,71,8.66,BR,2021-10-03 15:47:14
127,Henties Bay,-22.116,14.2845,58.86,79,4,10.07,NA,2021-10-03 15:47:15
128,Plettenberg Bay,-34.0527,23.3716,56.37,66,14,7.74,ZA,2021-10-03 15:47:15
129,Saldanha,-33.0117,17.9442,62.65,69,2,19.1,ZA,2021-10-03 15:47:15
130,Naze,28.3667,129.4833,77.85,61,0,18.21,JP,2021-10-03 15:46:55
131,Kambia,9.1167,-12.9167,87.91,62,80,1.79,SL,2021-10-03 15:47:16
132,Ronneby,56.21,15.276,61.3,82,0,13.8,SE,2021-10-03 15:47:16
133,Grand Gaube,-20.0064,57.6608,73.38,71,7,10.0,MU,2021-10-03 15:47:17
134,Makamba,-4.1348,29.804,69.19,71,99,2.13,BI,2021-10-03 15:47:17
135,Homer,59.6425,-151.5483,38.8,70,75,0.0,US,2021-10-03 15:47:17
136,Namibe,-15.1961,12.1522,65.66,71,6,10.56,AO,2021-10-03 15:46:25
137,Guerrero Negro,27.9769,-114.0611,76.96,61,44,3.33,MX,2021-10-03 15:47:18
138,Ponta Do Sol,32.6667,-17.1,77.72,72,45,2.06,PT,2021-10-03 15:46:32
139,Praia Da Vitoria,38.7333,-27.0667,75.76,88,40,9.01,PT,2021-10-03 15:47:18
140,Parana,-31.732,-60.5238,64.56,35,79,12.03,AR,2021-10-03 15:43:08
141,Hede,33.7681,120.2517,73.04,80,67,14.16,CN,2021-10-03 15:47:19
142,Klaksvik,62.2266,-6.589,50.92,88,100,32.46,FO,2021-10-03 15:47:19
143,Nokaneng,-19.6667,22.2667,87.3,9,0,6.26,BW,2021-10-03 15:47:20
144,Sinnamary,5.3833,-52.95,84.63,71,11,7.85,GF,2021-10-03 15:47:20
145,Japura,-0.3167,102.35,75.85,89,100,0.72,ID,2021-10-03 15:47:20
146,Ulladulla,-35.35,150.4667,63.5,87,54,5.64,AU,2021-10-03 15:47:21
147,Nome,64.5011,-165.4064,24.87,80,1,5.75,US,2021-10-03 15:47:21
148,Mehriz,31.5917,54.4318,75.7,25,0,2.77,IR,2021-10-03 15:47:21
149,East London,-33.0153,27.9116,59.94,72,20,14.97,ZA,2021-10-03 15:46:15
150,Labuhan,-6.8844,112.2051,79.45,70,68,10.22,ID,2021-10-03 15:47:22
151,Anadyr,64.75,177.4833,36.1,93,0,0.0,RU,2021-10-03 15:47:22
152,Ust-Maya,60.4167,134.5333,27.81,92,85,4.54,RU,2021-10-03 15:47:23
153,Dikson,73.5069,80.5464,34.56,98,100,23.33,RU,2021-10-03 15:47:23
154,Novyy Urgal,51.0736,132.5642,30.52,88,13,0.49,RU,2021-10-03 15:47:23
155,Maraba,-5.3686,-49.1178,87.98,66,40,4.61,BR,2021-10-03 15:47:24
156,Jacareacanga,-6.2222,-57.7528,96.4,34,98,5.03,BR,2021-10-03 15:47:24
157,Geraldton,-28.7667,114.6,48.61,93,0,5.75,AU,2021-10-03 15:47:24
158,Mayo,38.8876,-76.5119,83.08,74,43,5.99,US,2021-10-03 15:47:24
159,Norman Wells,65.282,-126.8329,35.64,100,90,14.97,CA,2021-10-03 15:47:25
160,Aasiaat,68.7098,-52.8699,23.61,73,81,8.52,GL,2021-10-03 15:47:25
161,Paris,48.8534,2.3488,60.78,75,0,1.99,FR,2021-10-03 15:46:58
162,Ongandjera,-17.8833,15.0667,88.99,9,0,11.65,NA,2021-10-03 15:47:26
163,Porto Novo,6.4965,2.6036,87.62,69,99,9.31,BJ,2021-10-03 15:47:26
164,Puerto Leguizamo,-0.1934,-74.7819,91.89,47,22,5.06,CO,2021-10-03 15:47:26
165,Kieta,-6.2167,155.6333,78.8,84,40,4.09,PG,2021-10-03 15:47:26
166,Kavieng,-2.5744,150.7967,81.18,74,14,5.32,PG,2021-10-03 15:47:01
167,Mananara,-16.1667,49.7667,70.75,93,39,5.23,MG,2021-10-03 15:47:27
168,Kromy,52.6876,35.7667,48.02,75,10,6.67,RU,2021-10-03 15:47:27
169,Rio Gallegos,-51.6226,-69.2181,55.45,33,40,24.16,AR,2021-10-03 15:47:28
170,Lasa,46.6166,10.7002,61.02,88,95,6.17,IT,2021-10-03 15:47:28
171,Provideniya,64.3833,-173.3,26.53,75,91,1.74,RU,2021-10-03 15:47:21
172,Lata,40.1629,-8.3327,68.36,47,2,13.0,PT,2021-10-03 15:47:28
173,Airai,-8.9266,125.4092,59.74,85,61,0.85,TL,2021-10-03 15:47:29
174,Faanui,-16.4833,-151.75,77.7,75,6,7.76,PF,2021-10-03 15:47:29
175,Mwanza,-2.5167,32.9,71.65,78,75,5.75,TZ,2021-10-03 15:47:30
176,Bambous Virieux,-20.3428,57.7575,73.22,94,75,10.36,MU,2021-10-03 15:47:30
177,Auki,-8.7676,160.7034,76.55,88,31,2.17,SB,2021-10-03 15:47:30
178,Beloha,-25.1667,45.05,74.57,69,13,7.87,MG,2021-10-03 15:47:30
179,Vila Velha,-20.3297,-40.2925,84.15,61,75,18.41,BR,2021-10-03 15:47:31
180,Brigantine,39.4101,-74.3646,78.15,80,1,5.75,US,2021-10-03 15:44:49
181,Mitchell,43.7094,-98.0298,66.11,74,1,3.0,US,2021-10-03 15:47:31
182,Ambon,-3.6954,128.1814,75.34,94,40,8.05,ID,2021-10-03 15:47:32
183,Paracuru,-3.41,-39.0306,87.82,58,18,17.98,BR,2021-10-03 15:47:32
184,Lumberton,34.6182,-79.0086,82.9,48,75,6.08,US,2021-10-03 15:47:32
185,Westport,41.1415,-73.3579,76.98,71,1,1.01,US,2021-10-03 15:44:28
186,Matara,5.9485,80.5353,79.16,86,12,8.21,LK,2021-10-03 15:47:33
187,Pingdingshan,33.7385,113.3012,80.91,74,87,0.78,CN,2021-10-03 15:47:33
188,Vestmannaeyjar,63.4427,-20.2734,54.59,47,0,3.44,IS,2021-10-03 15:47:33
189,Bereda,43.2686,-7.5406,62.42,63,58,5.61,ES,2021-10-03 15:47:34
190,Horta,38.5333,-28.6333,74.84,78,40,12.66,PT,2021-10-03 15:47:34
